timestamp,hotness,calculated_hotness,calculated_traffic_factor,views,traffic
2018-11-08 23:45:00,161.908,4.49861102725452,35.9906644560047,5873,12954
2018-11-08 23:30:00,161.908,4.49861102725452,35.9906644560047,5803,12954
2018-11-08 23:15:00,161.908,5.21361467320568,31.054845850441,5740,12954
2018-11-08 23:00:00,179.417,5.21361467320568,34.4131684533721,5663,12954
2018-11-08 22:45:00,176.217,5.06597248776977,34.7844368332875,5597,12954
2018-11-08 22:30:00,169.817,4.9275579389236,34.462709947779,5493,12954
2018-11-08 22:15:00,169.817,5.75651559979562,29.4999634859027,5407,12954
2018-11-08 22:00:00,200.258,5.70210618958961,35.1200053702284,5293,12954
2018-11-08 21:45:00,200.258,5.70210618958961,35.1200053702284,5177,12954
2018-11-08 21:30:00,196.448,5.64769677938361,34.7837371009568,5037,12954
2018-11-08 21:15:00,192.258,6.66432935369693,28.8488143061759,4914,12954
2018-11-08 21:00:00,219.856,6.53314176799423,33.6524153014819,4792,12954
2018-11-08 20:45:00,217.634,6.46754797514289,33.6501562626896,4678,12954
2018-11-08 20:30:00,210.967,6.33636038944019,33.2946655546274,4552,12954
2018-11-08 20:15:00,206.523,7.61840573411716,27.1084275644624,4433,12954
2018-11-08 20:00:00,257.428,7.83002811562041,32.8770211548088,4321,12954
2018-11-08 19:45:00,257.428,7.83002811562041,32.8770211548088,4179,12954
2018-11-08 19:30:00,231.294,7.11376774745555,32.5135720213426,4040,12954
2018-11-08 19:15:00,228.628,6.95098130014536,32.8914710208211,3914,12954
2018-11-08 19:00:00,282.451,6.86958807649026,41.1161479924291,3782,12954
2018-11-08 18:45:00,275.784,6.70680162918006,41.1200472666605,3638,12954
2018-11-08 18:30:00,269.118,6.54401518186987,41.1242933460162,3485,12954
2018-11-08 18:15:00,262.451,6.38122873455967,41.1285993524428,3327,12954
2018-11-08 18:00:00,251.118,6.10449177413234,41.1365940509753,3166,12954
2018-11-08 17:45:00,239.784,5.827754813705,41.1451764298843,3027,12954
2018-11-08 17:30:00,233.118,5.66496836639481,41.1508034860143,2879,12954
2018-11-08 17:15:00,223.118,5.50218191908461,40.5508220704414,2692,12954
2018-11-08 17:00:00,208.451,5.06265851134709,41.1742169717338,2528,12954
2018-11-08 16:45:00,193.784,4.78592155091975,40.490425498671,2334,12954
2018-11-08 16:30:00,172.451,4.37895543264426,39.3817664172627,2143,12954
2018-11-08 16:15:00,141.784,3.43479403824513,41.2787487171833,1912,12954
2018-11-08 16:00:00,123.784,3.0766638541627,40.2331895414968,1654,12954
2018-11-08 15:45:00,74.451,1.79065092041215,41.5776180333706,1399,12954
2018-11-08 15:30:00,63.784,1.53019260471584,41.6836415255352,1172,12954
2018-11-08 15:15:00,57.784,1.46507802579176,39.4409027934005,937,12954
2018-11-08 15:00:00,51.118,1.22089835482647,41.869169368539,722,12954
2018-11-08 14:45:00,35.784,0.846489526013018,42.2734114248801,526,12954
2018-11-08 14:30:00,19.784,0.455802052468548,43.4048067419906,347,12954
2018-11-08 14:15:00,19.784,0.455802052468548,43.4048067419906,197,12954
